,id,last_scraped,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,has_hot_tub,has_private_hot_tub,price,number_of_reviews,last_review,review_scores_accuracy,review_scores_location,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,review_scores_rating,reviews_per_month
1575,689858441489925607,2022-09-28,15867956,f,City of Capitola,36.97281440843803,-121.95144277893608,Entire home/apt,False,False,$248.00,2,2022-09-23,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0
1576,689901727280646529,2022-09-28,15867956,f,City of Santa Cruz,36.98532190777159,-122.00133423028866,Entire home/apt,False,False,$264.00,1,2022-09-26,5.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0
1577,691222767101514113,2022-09-28,55544165,f,Unincorporated Areas,36.96414,-121.99381,Entire home/apt,False,False,$630.00,1,2022-09-11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
1578,691286173120995291,2022-09-28,50678412,f,Unincorporated Areas,37.02653250861083,-121.98580017352236,Entire home/apt,False,False,$100.00,1,2022-08-28,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.94
1579,691286177861338885,2022-09-28,50678412,f,Unincorporated Areas,37.0272880496751,-121.98670573914796,Entire home/apt,False,False,$82.00,2,2022-09-05,5.0,5.0,5.0,5.0,4.5,5.0,5.0,1.5
1580,692093533096366843,2022-09-28,50678412,f,Unincorporated Areas,37.02732231108072,-121.9864804335907,Entire home/apt,False,False,$82.00,3,2022-09-24,5.0,5.0,5.0,5.0,5.0,4.33,5.0,2.31
1581,692966179276940678,2022-09-28,11588398,f,Unincorporated Areas,37.13492,-122.13981,Entire home/apt,False,False,$402.00,5,2022-09-25,5.0,4.8,5.0,5.0,5.0,4.6,5.0,4.69
1582,694926131168585301,2022-09-28,454569,f,Unincorporated Areas,37.08638,-122.04775,Entire home/apt,False,False,$70.00,0,,,,,,,,,
1583,695017899676959489,2022-09-28,51003705,f,Unincorporated Areas,36.95203,-121.86988,Entire home/apt,False,False,$293.00,2,2022-09-11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0
1584,695044686458367200,2022-09-28,414593775,f,Unincorporated Areas,37.12254,-122.11776,Entire home/apt,False,False,$143.00,4,2022-09-25,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.16
1585,696448359668098123,2022-09-28,15867956,f,City of Capitola,36.97280329146072,-121.95303757817256,Entire home/apt,False,False,$295.00,0,,,,,,,,,
1586,697140908894717747,2022-09-28,5350357,f,Unincorporated Areas,36.86161,-121.81516,Entire home/apt,False,False,"$1,068.00",0,,,,,,,,,
1587,699797082445324351,2022-09-28,8260205,f,Unincorporated Areas,37.04801190847828,-121.95226189990836,Entire home/apt,False,False,$911.00,0,,,,,,,,,
