,id,last_scraped,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,has_hot_tub,has_private_hot_tub,price,number_of_reviews,last_review,review_scores_accuracy,review_scores_location,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,review_scores_rating,reviews_per_month
123,2701872,2022-09-19,13346336,f,Redwood City,37.53771,-122.2416,Entire home/apt,True,False,$250.00,10,2022-08-16,4.67,5.0,5.0,4.89,5.0,4.67,4.89,0.1
124,2709053,2022-09-19,7581650,f,Redwood City,37.47467,-122.24562,Private room,False,False,$75.00,24,2019-09-30,4.65,4.82,4.35,4.91,4.86,4.68,4.67,0.24
125,2802236,2022-09-19,11015363,f,Brisbane,37.67859,-122.39746,Entire home/apt,False,False,$160.00,278,2021-08-15,4.91,4.81,4.87,4.93,4.92,4.82,4.84,2.74
126,2841690,2022-09-19,1336368,f,East Palo Alto,37.46762,-122.12908,Private room,False,False,$170.00,15,2019-11-16,4.86,4.79,4.86,5.0,5.0,4.79,4.71,0.15
127,2889893,2022-09-19,919088,t,Hillsborough,37.57712,-122.37166,Entire home/apt,False,False,$150.00,694,2022-09-15,4.97,4.94,4.96,4.98,4.98,4.91,4.95,6.82
128,3132652,2022-09-19,5196269,f,East Palo Alto,37.44314,-122.11924,Entire home/apt,False,False,$289.00,1,2014-08-28,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.01
129,3167740,2022-09-19,7581650,f,Redwood City,37.47608,-122.24752,Private room,False,False,$60.00,25,2019-12-21,4.71,4.88,4.67,5.0,4.92,4.71,4.92,0.28
130,3194869,2022-09-19,1032362,f,San Carlos,37.50439,-122.28152,Private room,False,False,$85.00,74,2022-08-27,4.74,4.86,4.86,4.76,4.8,4.78,4.8,0.75
131,3292043,2022-09-19,16631661,t,Unincorporated Areas,37.46472,-122.17104,Private room,False,False,$125.00,145,2022-09-12,4.88,4.94,4.92,4.94,4.99,4.85,4.87,1.47
132,3383950,2022-09-19,17072428,f,Daly City,37.70579,-122.453,Private room,False,False,$450.00,0,,,,,,,,,
133,3395067,2022-09-19,3153014,t,Burlingame,37.58272,-122.34841,Private room,False,False,$89.00,54,2021-11-09,4.83,4.89,4.93,4.94,4.93,4.83,4.87,0.54
134,3412172,2022-09-19,10891227,t,Unincorporated Areas,37.46299,-122.26372,Private room,False,False,$411.00,0,,,,,,,,,
135,3442668,2022-09-19,10433126,f,Daly City,37.702286,-122.461288,Private room,False,False,$70.00,6,2019-03-19,4.67,4.67,4.0,4.83,4.67,4.67,4.67,0.11
136,3577748,2022-09-19,1250027,f,Millbrae,37.60054,-122.40905,Entire home/apt,False,False,$117.00,916,2022-09-02,4.87,4.86,4.94,4.85,4.81,4.83,4.77,9.3
137,3636699,2022-09-19,18340596,f,Redwood City,37.4873,-122.24475,Entire home/apt,True,True,$450.00,85,2019-09-28,4.86,4.96,4.54,4.94,4.93,4.73,4.8,1.14
138,3638801,2022-09-19,6384956,t,Unincorporated Areas,37.2139,-122.40797,Entire home/apt,False,False,$596.00,120,2022-08-29,4.95,4.98,4.76,4.97,5.0,4.83,4.88,1.22
139,3720237,2022-09-19,4142181,f,San Mateo,37.54381,-122.30413,Private room,False,False,$120.00,2,2014-08-23,4.0,4.5,4.0,4.5,5.0,3.0,3.5,0.02
140,3769292,2022-09-19,18762801,f,San Bruno,37.62881,-122.40745,Private room,False,False,$79.00,280,2022-09-17,4.94,4.88,4.93,4.97,4.96,4.82,4.88,3.6
141,3822252,2022-09-19,19363764,t,San Mateo,37.57627,-122.30992,Private room,False,False,$65.00,97,2022-07-31,4.84,4.78,4.76,4.86,4.82,4.69,4.76,1.0
142,3843683,2022-09-19,19811568,t,Menlo Park,37.4448,-122.18988,Entire home/apt,False,False,$175.00,203,2022-09-13,4.96,4.95,4.9,4.94,4.92,4.78,4.86,2.06
143,3987869,2022-09-19,12305081,f,Redwood City,37.48197,-122.22233,Entire home/apt,False,False,$150.00,209,2020-03-04,4.91,4.51,4.92,4.94,4.88,4.76,4.81,2.16
144,4015691,2022-09-19,6273404,f,Unincorporated Areas,37.4758,-122.1967,Private room,False,False,$32.00,310,2020-05-23,4.98,4.89,4.98,4.96,4.97,4.91,4.96,3.17
